City,Country,City ID,Latitude,Longitude,Temperature,Max Temp,Humidity,Wind,Clouds,Date
Ouadda,CF,236901,8.08,22.4,69.48,69.48,86,2.15,100,1602728289
Usevya,TZ,149132,-7.1,31.23,75.92,75.92,52,10.11,20,1602728290
Aksarayskiy,RU,583683,46.79,48.01,48.2,48.2,76,8.95,100,1602728291
Bukama,CD,217834,-9.2,25.85,71.51,71.51,86,3.06,0,1602728294
Luanda,AO,2240449,-8.84,13.23,75.2,75.2,78,4.7,40,1602727997
Urucará,BR,3385670,-2.54,-57.76,79.54,79.54,67,3.4,5,1602728298
Taksimo,RU,2015701,56.34,114.88,29.37,29.37,81,3.87,95,1602728299
Saint-Prosper,CA,6137631,46.21,-70.48,44.02,46.0,90,4.79,0,1602728301
Pangnirtung,CA,6096551,66.15,-65.71,32.43,32.43,84,8.77,100,1602728302
Rocha,UY,3440777,-34.48,-54.33,51.44,51.44,90,2.68,0,1602728304
Sechura,PE,3691954,-5.56,-80.82,66.27,66.27,77,11.72,0,1602728305
Port Lincoln,AU,2063036,-34.73,135.87,73.33,73.33,46,16.69,100,1602728307
Marystown,CA,6067472,47.17,-55.15,55.99,55.99,100,3.0,100,1602728308
Namatanai,PG,2090021,-3.67,152.43,84.07,84.07,71,2.35,52,1602728309
Ponta do Sol,PT,2264557,32.67,-17.1,66.74,69.8,73,12.75,75,1602728301
Qasigiannguit,GL,3420768,68.82,-51.19,35.6,35.6,47,17.22,10,1602728312
Usinsk,RU,863061,65.99,57.53,30.25,30.25,97,12.1,28,1602728314
Henties Bay,NA,3356832,-22.12,14.28,59.0,59.0,92,1.99,0,1602728315
Thurso,GB,2635881,58.59,-3.53,46.4,46.4,75,8.05,97,1602728316
Deputatsky,RU,2028164,69.3,139.9,15.73,15.73,97,1.12,100,1602728317
Zhuhai,CN,1790437,22.28,113.57,80.6,80.6,69,19.46,20,1602728318
Rasskazovo,RU,502793,52.67,41.9,50.13,50.13,77,7.58,37,1602728319
Mogadishu,SO,53654,2.04,45.34,78.91,78.91,82,11.07,82,1602728038
Calama,CL,3897347,-22.47,-68.93,57.2,57.2,17,11.41,0,1602728321
Guerrero Negro,MX,4021858,27.98,-114.06,79.09,79.09,44,4.83,100,1602728323
Ozernovskiy,RU,2122293,51.5,156.52,45.27,45.27,70,27.34,43,1602728324
Neepawa,CA,6086673,50.23,-99.47,28.4,28.4,63,11.41,20,1602728325
Surgut,RU,1490624,61.25,73.42,30.2,30.2,100,6.71,0,1602728326
Geraldton,AU,2070998,-28.77,114.6,68.0,68.0,60,13.87,7,1602728327
Chicama,PE,3698359,-7.84,-79.15,64.31,64.31,80,5.66,6,1602728328
Ambon City,ID,1651531,-3.7,128.18,77.0,77.0,94,4.7,75,1602728330
Hokitika,NZ,2206894,-42.72,170.97,54.27,54.27,44,8.21,0,1602728331
Manokwari,ID,1636308,-0.87,134.08,82.38,82.38,78,3.78,100,1602728333
Mwinilunga,ZM,902620,-11.74,24.43,63.12,63.12,90,5.03,17,1602728334
Ballina,AU,2177069,-28.87,153.57,74.8,78.01,60,9.17,40,1602728335
Zhengjiatun,CN,2033135,43.51,123.51,48.34,48.34,48,6.38,0,1602728336
Puerto Nariño,CO,3671387,-3.77,-70.38,73.15,73.15,97,5.91,100,1602728337
Rio Claro,TT,3573840,10.3,-61.18,79.11,80.6,83,3.71,20,1602728338
Esperance,AU,2071860,-33.87,121.9,59.0,59.0,100,12.75,90,1602728222
San-Pédro,CI,2282006,4.75,-6.64,76.06,76.06,92,6.64,100,1602728340
Cabo San Lucas,MX,3985710,22.89,-109.91,81.86,82.4,78,3.36,5,1602728082
Georgiyevka,KZ,1524243,43.04,74.71,33.8,33.8,52,4.47,0,1602728343
Boa Vista,BR,3664980,2.82,-60.67,84.2,84.2,66,4.7,20,1602728344
Vardø,NO,777019,70.37,31.11,41.65,41.65,77,21.23,73,1602728345
Yuancheng,CN,1786110,36.65,107.79,50.5,50.5,48,5.14,6,1602728346
Atar,MR,2381334,20.52,-13.05,87.19,87.19,36,5.93,84,1602728347
Birao,CF,240210,10.28,22.79,72.61,72.61,85,1.32,86,1602728348
Nouadhibou,MR,2377457,20.93,-17.03,82.4,82.4,54,12.75,66,1602728349
Roswell,US,4219934,34.02,-84.36,64.4,66.2,77,7.18,20,1602728350
Baghdad,IQ,98182,33.34,44.4,69.8,69.8,32,8.05,68,1602728352
Hulan Ergi,CN,2036670,47.2,123.63,43.57,43.57,52,10.89,0,1602728353
Takoradze,GH,2294915,4.88,-1.76,76.53,76.53,90,8.3,82,1602728354
Srandakan,ID,1626493,-7.94,110.25,86.0,86.0,63,9.08,100,1602728355
Halifax,CA,6324729,44.65,-63.57,53.96,55.0,91,7.05,87,1602728100
Parrita,CR,3622537,9.52,-84.32,67.23,69.8,88,8.05,97,1602728357
Novo Aripuanã,BR,3663142,-5.12,-60.38,74.1,74.1,93,0.51,54,1602728358
Burevestnik,RU,570827,56.14,43.79,46.2,46.4,100,2.24,100,1602728359
Kalmunai,LK,1242110,7.42,81.82,81.73,81.73,66,3.85,99,1602728360
Whitianga,NZ,2179103,-36.83,175.7,55.0,55.0,89,5.01,99,1602728180
Marshall,US,4074736,34.38,-86.33,63.61,66.99,82,4.7,1,1602728363
Tucumã,BR,3385980,-0.18,-50.05,79.36,79.36,76,8.84,2,1602728364
Merrill,US,5262680,45.18,-89.68,49.1,55.4,87,6.93,90,1602728173
